what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1353457775960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353457783350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353457870570
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1353457871769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353457878249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353457888402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353457893510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353457947306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353457966150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353458188493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353458204789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353459390833
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353459400766
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1353459413529
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1353459413530
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1353459413538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353459494253
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1353459495722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353459508547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353459878498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353459881652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353459883201
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1353459888424
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353459888569
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353459910456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353459911463
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353459916459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353459952380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460061966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460065458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460067327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460069842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460071911
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1353460076465
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353460085307
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1353460089039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353460091826
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353460093638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460142587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460144464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460152282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460153478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460238649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460250906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1353460399407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353460411091
